score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
4,35,9,4,4,5,1,9,4,4,4,5,1
3,33,7,2,1,2,1,7,3,1,1,2,0
1,32,6,1,5,6,1,6,1,1,5,6,1
3,28,4,2,4,5,0,4,3,3,4,5,0
0,32,7,0,1,1,0,7,0,0,1,1,0
6,32,9,5,1,1,2,9,6,3,1,1,1
12,38,15,11,6,4,3,15,12,9,6,4,3
6,41,16,6,7,7,1,16,6,6,7,7,2
6,36,11,4,3,2,1,11,6,5,3,2,1
7,36,14,7,1,4,0,14,7,7,1,4,2
0,35,9,0,0,6,0,9,0,0,0,6,0
5,32,8,5,5,8,1,8,5,1,5,8,0
1,32,7,1,3,4,1,7,1,0,3,4,0
7,34,14,6,5,5,0,14,7,7,5,5,0
2,33,8,2,1,6,1,8,2,2,1,6,1
1,33,6,1,3,4,2,6,1,1,3,4,0
1,33,6,0,2,6,0,6,1,0,2,6,0
3,31,7,3,2,4,0,7,3,3,2,4,1
1,33,8,1,1,7,0,8,1,1,1,7,1
2,28,9,2,3,5,0,9,2,2,3,5,0
6,40,18,6,2,4,2,18,6,5,2,4,0
4,35,9,4,4,7,0,9,4,3,4,7,1
12,41,13,9,6,5,0,13,12,9,6,5,0
3,29,7,3,3,4,0,7,3,3,3,4,1
11,43,17,11,2,5,0,17,11,9,2,5,2
6,39,13,5,0,8,1,13,6,4,0,8,1
2,29,6,2,2,3,0,6,2,2,2,3,1
1,33,4,1,2,5,0,4,1,1,2,5,1
2,31,8,2,3,5,2,8,2,2,3,5,0
3,31,8,3,4,4,0,8,3,3,4,4,2
0,31,7,0,5,3,0,7,0,0,5,3,0
12,41,18,12,0,3,0,18,12,12,0,3,1
5,35,9,5,5,3,1,9,5,5,5,3,0
3,30,6,3,4,4,1,6,3,3,4,4,0
5,34,10,4,4,8,1,10,5,4,4,8,1
1,31,7,1,3,5,0,7,1,1,3,5,0
10,45,20,10,3,2,1,20,10,6,3,2,0
0,33,6,0,0,5,0,6,0,0,0,5,0
3,33,8,3,4,3,1,8,3,3,4,3,1
2,35,7,1,2,2,0,7,2,0,2,2,0
13,49,22,12,5,6,1,22,13,10,5,6,1
2,35,6,1,5,5,0,6,2,0,5,5,0
4,35,9,3,0,5,2,9,4,1,0,5,1
3,34,9,3,4,11,0,9,3,3,4,11,1
3,31,5,1,3,10,0,5,3,2,3,10,1
4,29,3,3,4,1,1,3,4,2,4,1,0
4,36,10,4,3,0,0,10,4,4,3,0,0
4,34,8,3,3,6,1,8,4,3,3,6,1
4,33,10,4,5,2,2,10,4,4,5,2,0
8,33,11,8,4,4,2,11,8,8,4,4,1
2,33,8,2,4,5,2,8,2,2,4,5,0
1,31,8,1,2,4,0,8,1,1,2,4,0
4,34,5,4,2,2,0,5,4,1,2,2,0
5,35,10,4,1,2,0,10,5,4,1,2,0
3,35,7,3,2,6,2,7,3,3,2,6,1
6,32,12,6,4,3,1,12,6,5,4,3,0
5,31,6,5,7,1,1,6,5,3,7,1,1
3,33,8,3,7,4,1,8,3,2,7,4,1
1,27,1,1,2,6,2,1,1,1,2,6,0
5,32,9,5,0,6,1,9,5,4,0,6,1
